time,concNhno3
2000-01-15,0.003014899557456374
2000-02-15,0.008007877506315708
2000-03-15,0.005861745215952396
2000-04-15,0.04030641168355942
2000-05-15,0.05800522863864899
2000-06-15,0.01886552758514881
2000-07-15,0.03126265108585358
2000-08-15,0.028131285682320595
2000-09-15,0.03594821318984032
2000-10-15,0.04785589128732681
2000-11-15,0.04274141788482666
2000-12-15,0.010847480967640877
2001-01-15,0.027143949642777443
2001-02-15,0.013073574751615524
2001-03-15,0.021315719932317734
2001-04-15,0.015933310613036156
2001-05-15,0.017823657020926476
2001-06-15,0.02045125514268875
2001-07-15,0.031641021370887756
2001-08-15,0.02843637950718403
2001-09-15,0.02175457403063774
2001-10-15,0.0190951656550169
2001-11-15,0.013158454559743404
2001-12-15,0.012974690645933151
2002-01-15,0.009886041283607483
2002-02-15,0.011302512139081955
2002-03-15,0.010625508613884449
2002-04-15,0.047175124287605286
2002-05-15,0.050206396728754044
2002-06-15,0.035153865814208984
2002-07-15,0.04575737565755844
2002-08-15,0.060014668852090836
2002-09-15,0.02064642496407032
2002-10-15,0.015702886506915092
2002-11-15,0.01870192401111126
2002-12-15,0.025632984936237335
2003-01-15,0.004378337413072586
2003-02-15,0.02567354403436184
2003-03-15,0.02559688873589039
2003-04-15,0.03261948004364967
2003-05-15,0.028162434697151184
2003-06-15,0.028908587992191315
2003-07-15,0.048699162900447845
2003-08-15,0.024088814854621887
2003-09-15,0.029835134744644165
2003-10-15,0.015301902778446674
2003-11-15,0.025195034220814705
2003-12-15,0.005186567083001137
2004-01-15,0.035797104239463806
2004-02-15,0.008600844070315361
2004-03-15,0.016867822036147118
2004-04-15,0.07882310450077057
2004-05-15,0.03686785697937012
2004-06-15,0.02383219264447689
2004-07-15,0.03835338354110718
2004-08-15,0.03691896051168442
2004-09-15,0.027956828474998474
2004-10-15,0.03332420438528061
2004-11-15,0.005015334580093622
2004-12-15,0.012089920230209827
2005-01-15,0.010736508294939995
2005-02-15,0.026766380295157433
2005-03-15,0.0159318745136261
2005-04-15,0.028336776420474052
2005-05-15,0.022504139691591263
2005-06-15,0.02975641004741192
2005-07-15,0.041802432388067245
2005-08-15,0.029355399310588837
2005-09-15,0.04143761470913887
2005-10-15,0.0417226180434227
2005-11-15,0.01781345345079899
2005-12-15,0.02735261805355549
2006-01-15,0.024676797911524773
2006-02-15,0.031738121062517166
2006-03-15,0.026371384039521217
2006-04-15,0.04326869919896126
2006-05-15,0.06977578997612
2006-06-15,0.027169711887836456
2006-07-15,0.043472230434417725
2006-08-15,0.06298071891069412
2006-09-15,0.043316032737493515
2006-10-15,0.007528251968324184
2006-11-15,0.01705816201865673
2006-12-15,0.006200783886015415
2007-01-15,0.004010141361504793
2007-02-15,0.033542197197675705
2007-03-15,0.01669488102197647
2007-04-15,0.016541916877031326
2007-05-15,0.02168130688369274
2007-06-15,0.04401857778429985
2007-07-15,0.04162563756108284
2007-08-15,0.03355692699551582
2007-09-15,0.0198154728859663
2007-10-15,0.027059290558099747
2007-11-15,0.0068164183758199215
2007-12-15,0.005413649138063192
2008-01-15,0.009979497641324997
2008-02-15,0.010572977364063263
2008-03-15,0.02531110867857933
2008-04-15,0.03004673309624195
2008-05-15,0.05375416576862335
2008-06-15,0.031101776286959648
2008-07-15,0.03541814535856247
2008-08-15,0.01833011396229267
2008-09-15,0.024833587929606438
2008-10-15,0.009608147665858269
2008-11-15,0.010305104777216911
2008-12-15,
2009-01-15,0.023618441075086594
2009-02-15,0.0061141629703342915
2009-03-15,0.03084382228553295
2009-04-15,0.035025455057621
2009-05-15,0.024374239146709442
2009-06-15,0.026352979242801666
2009-07-15,0.033329881727695465
2009-08-15,0.0364176444709301
2009-09-15,0.015777673572301865
2009-10-15,0.011478190310299397
2009-11-15,0.021005161106586456
2009-12-15,0.025389067828655243
2010-01-15,
2010-02-15,0.02408383972942829
2010-03-15,0.010527265258133411
2010-04-15,0.02837292291224003
2010-05-15,0.017790211364626884
2010-06-15,0.01994340866804123
2010-07-15,0.03544677048921585
2010-08-15,0.03107377327978611
2010-09-15,0.01826273649930954
2010-10-15,0.02445822022855282
2010-11-15,0.008975496515631676
2010-12-15,0.007504453416913748
2011-01-15,0.009987425990402699
2011-02-15,0.03721059486269951
2011-03-15,0.00990229845046997
2011-04-15,0.02364158257842064
2011-05-15,0.03333389014005661
2011-06-15,0.04206341877579689
2011-07-15,0.043184101581573486
2011-08-15,0.022411948069930077
2011-09-15,0.021108634769916534
2011-10-15,0.015507852658629417
2011-11-15,0.014628095552325249
2011-12-15,0.009287681430578232
2012-01-15,0.03906143084168434
2012-02-15,0.021330276504158974
2012-03-15,0.0143510103225708
2012-04-15,0.015482233837246895
2012-05-15,0.024287328124046326
2012-06-15,0.02252320758998394
2012-07-15,0.029917890205979347
2012-08-15,0.024726953357458115
2012-09-15,0.014396575279533863
2012-10-15,0.009081046096980572
2012-11-15,0.020300766453146935
2012-12-15,0.032323502004146576
2013-01-15,0.009144234471023083
2013-02-15,0.014965490438044071
2013-03-15,0.011413859203457832
2013-04-15,0.020157979801297188
2013-05-15,0.03888191282749176
2013-06-15,0.020970147103071213
2013-07-15,0.026133613660931587
2013-08-15,0.02705656737089157
2013-09-15,0.040886376053094864
2013-10-15,0.013740390539169312
2013-11-15,0.0067846705205738544
2013-12-15,0.009445165283977985
2014-01-15,0.03561210632324219
2014-02-15,0.037414707243442535
2014-03-15,0.017230020835995674
2014-04-15,0.016739269718527794
2014-05-15,0.032398879528045654
2014-06-15,0.019193317741155624
2014-07-15,0.07291274517774582
