time,concNhno3
2000-01-15,0.0017880814848467708
2000-02-15,0.004464118741452694
2000-03-15,0.0036468757316470146
2000-04-15,0.015966171398758888
2000-05-15,0.03492297604680061
2000-06-15,0.025628186762332916
2000-07-15,0.05760893598198891
2000-08-15,0.030889706686139107
2000-09-15,0.02940231002867222
2000-10-15,0.03474908694624901
2000-11-15,0.05026837810873985
2000-12-15,0.005307613871991634
2001-01-15,0.023729385808110237
2001-02-15,0.00998717825859785
2001-03-15,0.013371956534683704
2001-04-15,0.015943951904773712
2001-05-15,0.02329622209072113
2001-06-15,0.04591847211122513
2001-07-15,0.031152889132499695
2001-08-15,0.025154810398817062
2001-09-15,0.02085900492966175
2001-10-15,0.014662175439298153
2001-11-15,0.01043354906141758
2001-12-15,0.013806931674480438
2002-01-15,0.002305815229192376
2002-02-15,
2002-03-15,
2002-04-15,
2002-05-15,
2002-06-15,0.06157349422574043
2002-07-15,0.06095466390252113
2002-08-15,0.06468816846609116
2002-09-15,0.021893953904509544
2002-10-15,0.011968272738158703
2002-11-15,0.011992134153842926
2002-12-15,0.02195252850651741
2003-01-15,0.002100931014865637
2003-02-15,0.0208684504032135
2003-03-15,0.013023567385971546
2003-04-15,0.025051988661289215
2003-05-15,0.021579928696155548
2003-06-15,0.04601489380002022
2003-07-15,0.06980899721384048
2003-08-15,0.03589921072125435
2003-09-15,0.026733404025435448
2003-10-15,0.011147073470056057
2003-11-15,0.019007930532097816
2003-12-15,0.003190051531419158
2004-01-15,0.020496070384979248
2004-02-15,0.0042801895178854465
2004-03-15,0.00792052410542965
2004-04-15,0.044750068336725235
2004-05-15,0.03916242718696594
2004-06-15,
2004-07-15,
2004-08-15,0.04829496517777443
2004-09-15,0.0205265861004591
2004-10-15,0.020998476073145866
2004-11-15,
2004-12-15,0.005501552484929562
2005-01-15,0.007227209396660328
2005-02-15,0.008905484341084957
2005-03-15,0.007672258652746677
2005-04-15,0.020432880148291588
2005-05-15,0.018172843381762505
2005-06-15,0.02808842994272709
2005-07-15,0.06286094337701797
2005-08-15,0.03556680306792259
2005-09-15,0.020420139655470848
2005-10-15,0.02462165616452694
2005-11-15,0.006889794021844864
2005-12-15,0.014480706304311752
2006-01-15,0.022096676751971245
2006-02-15,0.01827855594456196
2006-03-15,0.008497683331370354
2006-04-15,0.03277100622653961
2006-05-15,0.05598575621843338
2006-06-15,0.043074674904346466
2006-07-15,0.07045881450176239
2006-08-15,0.06095433607697487
2006-09-15,0.0334610678255558
2006-10-15,0.006067628972232342
2006-11-15,0.015258452855050564
2006-12-15,0.005756862461566925
2007-01-15,0.0019459016621112823
2007-02-15,0.01775931566953659
2007-03-15,0.01262980792671442
2007-04-15,0.012216967530548573
2007-05-15,0.014831673353910446
2007-06-15,0.0546715222299099
2007-07-15,0.0383046492934227
2007-08-15,0.035024493932724
2007-09-15,0.015850888565182686
2007-10-15,0.016644490882754326
2007-11-15,0.004164526704698801
2007-12-15,0.00686980877071619
2008-01-15,0.02063484489917755
2008-02-15,0.008782847784459591
2008-03-15,0.014599715359508991
2008-04-15,0.0232024397701025
2008-05-15,0.02213420160114765
2008-06-15,0.029186168685555458
2008-07-15,0.04612644389271736
2008-08-15,0.027525097131729126
2008-09-15,0.02227846346795559
2008-10-15,0.007321633864194155
2008-11-15,0.005386535078287125
2008-12-15,0.008891492150723934
2009-01-15,0.015371971763670444
2009-02-15,0.0027330585289746523
2009-03-15,0.024165695533156395
2009-04-15,0.016915811225771904
2009-05-15,0.023696783930063248
2009-06-15,0.03789934515953064
2009-07-15,0.04848354309797287
2009-08-15,0.03328767046332359
2009-09-15,0.008870757184922695
2009-10-15,0.008545313030481339
2009-11-15,0.019893983379006386
2009-12-15,0.016927922144532204
2010-01-15,0.018065260723233223
2010-02-15,0.011481981724500656
2010-03-15,0.005121396388858557
2010-04-15,0.017102321609854698
2010-05-15,0.016453484073281288
2010-06-15,0.02131401188671589
2010-07-15,0.030413581058382988
2010-08-15,0.0265633724629879
2010-09-15,0.02320246957242489
2010-10-15,0.01825452409684658
2010-11-15,0.00179222971200943
2010-12-15,0.004745732061564922
2011-01-15,0.004571141209453344
2011-02-15,0.011207287199795246
2011-03-15,0.005336782895028591
2011-04-15,0.00868042092770338
2011-05-15,0.022603029385209084
2011-06-15,0.03351535648107529
2011-07-15,0.049180325120687485
2011-08-15,0.03439909592270851
2011-09-15,0.02018548548221588
2011-10-15,0.011244343593716621
2011-11-15,0.009541960433125496
2011-12-15,0.009017185308039188
2012-01-15,0.017829062417149544
2012-02-15,0.00926684308797121
2012-03-15,0.002995495917275548
2012-04-15,0.014187034219503403
2012-05-15,0.016016926616430283
2012-06-15,0.026534244418144226
2012-07-15,0.03252207860350609
2012-08-15,0.032659780234098434
2012-09-15,0.011698836460709572
2012-10-15,0.008640531450510025
2012-11-15,0.014365925453603268
2012-12-15,0.010549204424023628
2013-01-15,0.0029825421515852213
2013-02-15,0.0053384737111628056
2013-03-15,0.007061089389026165
2013-04-15,0.013906313106417656
2013-05-15,0.03594810888171196
2013-06-15,0.021543603390455246
2013-07-15,0.02853742055594921
2013-08-15,0.027299487963318825
2013-09-15,0.028833789750933647
2013-10-15,0.013200337998569012
2013-11-15,0.003347560530528426
2013-12-15,0.006571299862116575
2014-01-15,0.020587943494319916
2014-02-15,0.03169526904821396
2014-03-15,0.009547628462314606
2014-04-15,0.009089991450309753
2014-05-15,0.025006292387843132
2014-06-15,0.02559962123632431
2014-07-15,0.08087854087352753
2014-08-15,0.030072715133428574
2014-09-15,0.028241001069545746
