time,concNtnh
2000-01-15,0.2558064516129033
2000-02-15,0.38964285714285724
2000-03-15,0.3554838709677419
2000-04-15,0.2066666666666667
2000-05-15,0.26741935483870966
2000-06-15,0.281
2000-07-15,0.3041935483870968
2000-08-15,0.2606451612903226
2000-09-15,0.27413793103448275
2000-10-15,0.12483870967741932
2000-11-15,0.165
2000-12-15,0.17967741935483866
2001-01-15,0.10064516129032253
2001-02-15,0.11740740740740739
2001-03-15,0.14100000000000001
2001-04-15,0.12699999999999997
2001-05-15,0.14400000000000004
2001-06-15,0.1186666666666667
2001-07-15,0.127741935483871
2001-08-15,0.17903225806451611
2001-09-15,0.0856666666666667
2001-10-15,0.08612903225806452
2001-11-15,0.07379310344827586
2001-12-15,0.06032258064516132
2002-01-15,0.044000000000000025
2002-02-15,0.08642857142857144
2002-03-15,0.11548387096774194
2002-04-15,0.14733333333333337
2002-05-15,0.15709677419354837
2002-06-15,0.171
2002-07-15,0.16612903225806455
2002-08-15,0.0866666666666667
2002-09-15,0.09033333333333331
2002-10-15,0.23354838709677425
2002-11-15,0.10413793103448275
2002-12-15,0.09899999999999999
2003-01-15,0.19249999999999998
2003-02-15,0.522962962962963
2003-03-15,1.1164516129032258
2003-04-15,1.059285714285714
2003-05-15,1.6664516129032259
2003-06-15,2.438965517241379
2003-07-15,1.590666666666667
2003-08-15,1.5448387096774194
2003-09-15,1.379
2003-10-15,0.8106896551724139
2003-11-15,0.9066666666666665
2003-12-15,0.4887096774193549
2004-01-15,0.45571428571428557
2004-02-15,1.196666666666667
2004-03-15,0.9575862068965516
2004-04-15,1.2126666666666668
2004-05-15,1.1898387096774192
2004-06-15,2.0827586206896553
2004-07-15,2.0018518518518515
2004-08-15,1.6190322580645162
2004-09-15,1.377
2004-10-15,0.9596774193548386
2004-11-15,1.1179310344827587
2004-12-15,0.7206896551724139
2005-01-15,0.6472413793103449
2005-02-15,0.7024999999999997
2005-03-15,1.3329032258064513
2005-04-15,1.31
2005-05-15,1.6951612903225806
2005-06-15,1.8441379310344828
2005-07-15,1.806774193548387
2005-08-15,1.5206451612903225
2005-09-15,1.5026666666666668
2005-10-15,0.8845161290322578
2005-11-15,0.9048275862068966
2005-12-15,0.5413333333333336
2006-01-15,0.8038709677419353
2006-02-15,1.5674074074074076
2006-03-15,1.1046666666666667
2006-04-15,1.8248275862068966
2006-05-15,2.0545161290322578
2006-06-15,2.1858620689655175
2006-07-15,2.2736666666666663
2006-08-15,1.0158064516129033
2006-09-15,1.6056
2006-10-15,1.2241935483870967
2006-11-15,0.9126923076923075
2006-12-15,0.7474193548387097
2007-01-15,0.8105172413793105
2007-02-15,0.5971428571428571
2007-03-15,1.1175862068965516
2007-04-15,1.2578571428571428
2007-05-15,1.372222222222222
2007-06-15,1.46551724137931
2007-07-15,1.100967741935484
2007-08-15,1.1215384615384616
2007-09-15,1.2385185185185188
2007-10-15,1.017
2007-11-15,0.7603333333333334
2007-12-15,0.6625806451612902
2008-01-15,0.701935483870968
2008-02-15,0.8642307692307694
2008-03-15,0.9248387096774195
2008-04-15,0.8376666666666668
2008-05-15,0.9724999999999998
2008-06-15,1.3114999999999999
2008-07-15,1.2740000000000002
2008-08-15,1.397741935483871
2008-09-15,1.0010344827586208
2008-10-15,0.9670967741935483
2008-11-15,0.47479999999999994
2008-12-15,0.6056666666666667
2009-01-15,0.503
2009-02-15,0.8342307692307693
2009-03-15,1.3712903225806452
2009-04-15,1.6789655172413795
2009-05-15,1.457741935483871
2009-06-15,1.328076923076923
2009-07-15,1.2670967741935482
2009-08-15,1.5893548387096774
2009-09-15,1.9027586206896554
2009-10-15,1.477666666666667
2009-11-15,1.1544827586206898
2009-12-15,0.43296296296296294
2010-01-15,0.5977777777777779
2010-02-15,0.7071999999999999
2010-03-15,1.4757142857142855
2010-04-15,1.8226923076923076
2010-05-15,1.4757142857142855
2010-06-15,1.1542857142857144
2010-07-15,1.739285714285714
2010-08-15,1.3185185185185189
2010-09-15,1.075357142857143
2010-10-15,1.2432142857142854
2010-11-15,0.7851724137931035
2010-12-15,0.6641379310344828
2011-01-15,0.6239285714285715
2011-02-15,1.1821052631578945
2011-03-15,0.9864285714285719
2011-04-15,1.4570370370370371
2011-05-15,1.3675000000000002
2011-06-15,1.3244827586206895
2011-07-15,0.5203333333333333
2011-08-15,0.53741935483871
2011-09-15,0.857
2011-10-15,0.8319354838709677
2011-11-15,0.6253333333333333
2011-12-15,0.6070967741935483
2012-01-15,0.6053333333333332
2012-02-15,0.5967857142857144
2012-03-15,1.221333333333333
2012-04-15,0.6866666666666668
2012-05-15,0.4453571428571429
2012-06-15,0.9831034482758622
2012-07-15,1.0268
2012-08-15,0.9375000000000001
2012-09-15,1.2492592592592595
2012-10-15,0.9524137931034486
2012-11-15,0.6973333333333332
2012-12-15,0.6330000000000001
2013-01-15,0.5080645161290323
2013-02-15,0.8935714285714287
2013-03-15,0.5741935483870968
2013-04-15,0.99
2013-05-15,0.8577419354838712
2013-06-15,0.9006666666666666
2013-07-15,1.2825806451612907
2013-08-15,1.1625806451612901
2013-09-15,0.9653333333333335
2013-10-15,0.7632258064516128
2013-11-15,0.5633333333333332
2013-12-15,0.7912903225806452
2014-01-15,0.5225806451612904
2014-02-15,0.5974999999999999
2014-03-15,1.2925806451612905
2014-04-15,1.3450000000000002
2014-05-15,0.9509677419354838
2014-06-15,1.196333333333333
2014-07-15,0.9768965517241377
2014-08-15,1.0954838709677417
2014-09-15,1.0946666666666665
2014-10-15,0.8845161290322582
2014-11-15,0.6746666666666667
