time,wetoxn
2000-01-15,397.7123107910156
2000-02-15,286.3095397949219
2000-03-15,280.4671325683594
2000-04-15,303.7082214355469
2000-05-15,219.5707550048828
2000-06-15,280.2445068359375
2000-07-15,290.6087951660156
2000-08-15,180.93258666992188
2000-09-15,194.3938751220703
2000-10-15,375.29718017578125
2000-11-15,352.6109924316406
2000-12-15,301.3172302246094
2001-01-15,231.62808227539062
2001-02-15,197.93960571289062
2001-03-15,166.70474243164062
2001-04-15,341.71807861328125
2001-05-15,161.7698516845703
2001-06-15,118.61151123046875
2001-07-15,364.3963928222656
2001-08-15,274.4767150878906
2001-09-15,234.8779754638672
2001-10-15,194.33067321777344
2001-11-15,206.90208435058594
2001-12-15,280.16168212890625
2002-01-15,257.96148681640625
2002-02-15,319.6550598144531
2002-03-15,151.46925354003906
2002-04-15,155.90203857421875
2002-05-15,108.65443420410156
2002-06-15,287.4311828613281
2002-07-15,311.7569274902344
2002-08-15,138.89747619628906
2002-09-15,192.4320526123047
2002-10-15,113.19480895996094
2002-11-15,92.43902587890625
2002-12-15,210.4020538330078
2003-01-15,289.93829345703125
2003-02-15,274.6387939453125
2003-03-15,268.1035461425781
2003-04-15,171.0575408935547
2003-05-15,299.2296142578125
2003-06-15,106.99762725830078
2003-07-15,154.56961059570312
2003-08-15,325.0752868652344
2003-09-15,218.24627685546875
2003-10-15,230.54495239257812
2003-11-15,302.46844482421875
2003-12-15,575.0494995117188
2004-01-15,368.115478515625
2004-02-15,321.9579772949219
2004-03-15,74.8613052368164
2004-04-15,177.32203674316406
2004-05-15,160.13107299804688
2004-06-15,220.76536560058594
2004-07-15,187.96505737304688
2004-08-15,214.56065368652344
2004-09-15,527.9744873046875
2004-10-15,179.1240234375
2004-11-15,215.5460662841797
2004-12-15,394.7569274902344
2005-01-15,328.80596923828125
2005-02-15,116.48930358886719
2005-03-15,98.14903259277344
2005-04-15,156.06536865234375
2005-05-15,266.72308349609375
2005-06-15,151.6781768798828
2005-07-15,262.6534118652344
2005-08-15,226.2146759033203
2005-09-15,410.86865234375
2005-10-15,382.56988525390625
2005-11-15,495.83447265625
2005-12-15,346.39727783203125
2006-01-15,269.5688171386719
2006-02-15,85.57340240478516
2006-03-15,127.75039672851562
2006-04-15,190.1981658935547
2006-05-15,150.66250610351562
2006-06-15,304.385009765625
2006-07-15,292.857421875
2006-08-15,139.01963806152344
2006-09-15,232.61399841308594
2006-10-15,211.26292419433594
2006-11-15,291.26678466796875
2006-12-15,357.9840087890625
2007-01-15,238.40370178222656
2007-02-15,128.4255828857422
2007-03-15,185.5676727294922
2007-04-15,236.36036682128906
2007-05-15,167.72433471679688
2007-06-15,137.35635375976562
2007-07-15,290.2187194824219
2007-08-15,332.3703308105469
2007-09-15,366.6942138671875
2007-10-15,319.0607604980469
2007-11-15,234.74530029296875
2007-12-15,558.5817260742188
2008-01-15,331.0519714355469
2008-02-15,247.65841674804688
2008-03-15,251.43031311035156
2008-04-15,143.69900512695312
2008-05-15,154.174072265625
2008-06-15,220.4437255859375
2008-07-15,292.2643737792969
2008-08-15,235.64466857910156
2008-09-15,103.96713256835938
2008-10-15,433.308349609375
2008-11-15,330.46807861328125
2008-12-15,339.2735595703125
2009-01-15,190.2061004638672
2009-02-15,204.2723846435547
2009-03-15,144.0945587158203
2009-04-15,132.2046356201172
2009-05-15,273.1593322753906
2009-06-15,148.79710388183594
2009-07-15,203.45216369628906
2009-08-15,143.5809783935547
2009-09-15,229.05003356933594
2009-10-15,159.7024688720703
2009-11-15,197.92034912109375
2009-12-15,175.3470458984375
2010-01-15,113.14935302734375
2010-02-15,209.10397338867188
2010-03-15,169.32907104492188
2010-04-15,194.00088500976562
2010-05-15,257.51031494140625
2010-06-15,325.1101989746094
2010-07-15,505.9065856933594
2010-08-15,419.0938415527344
2010-09-15,364.9434814453125
2010-10-15,223.54031372070312
2010-11-15,177.2365264892578
2010-12-15,164.31808471679688
2011-01-15,345.8573303222656
2011-02-15,81.57008361816406
2011-03-15,117.94709777832031
2011-04-15,150.3074493408203
2011-05-15,199.9154052734375
2011-06-15,130.36631774902344
2011-07-15,377.11773681640625
2011-08-15,224.409912109375
2011-09-15,82.52192687988281
2011-10-15,211.2545623779297
2011-11-15,274.7402038574219
2011-12-15,461.5523681640625
2012-01-15,202.06776428222656
2012-02-15,104.1413345336914
2012-03-15,90.8637466430664
2012-04-15,164.64479064941406
2012-05-15,167.5648193359375
2012-06-15,146.6406707763672
2012-07-15,254.357421875
2012-08-15,303.39923095703125
2012-09-15,299.2674255371094
2012-10-15,225.2676239013672
2012-11-15,311.0253601074219
2012-12-15,124.49810791015625
2013-01-15,211.16636657714844
2013-02-15,219.6739044189453
2013-03-15,84.02851867675781
2013-04-15,144.5268096923828
2013-05-15,84.28227233886719
2013-06-15,177.62652587890625
2013-07-15,201.9801788330078
2013-08-15,362.912109375
2013-09-15,69.03305053710938
2013-10-15,212.29800415039062
2013-11-15,264.2032775878906
2013-12-15,253.11489868164062
2014-01-15,152.91319274902344
2014-02-15,282.4783935546875
2014-03-15,191.96499633789062
2014-04-15,147.94915771484375
2014-05-15,249.74342346191406
2014-06-15,105.54359436035156
2014-07-15,228.31060791015625
2014-08-15,266.83642578125
2014-09-15,228.21640014648438
2014-10-15,149.06143188476562
2014-11-15,238.52459716796875
2014-12-15,263.9192199707031
2015-01-15,284.1136169433594
2015-02-15,297.6138916015625
2015-03-15,194.050537109375
2015-04-15,124.175048828125
2015-05-15,219.38223266601562
2015-06-15,209.2574462890625
2015-07-15,123.72381591796875
