time,wetoxn
2000-01-15,708.5714111328125
2000-02-15,1194.7313232421875
2000-03-15,976.3869018554688
2000-04-15,666.9452514648438
2000-05-15,845.5198364257812
2000-06-15,1575.9896240234375
2000-07-15,1480.1796875
2000-08-15,1853.2572021484375
2000-09-15,819.7264404296875
2000-10-15,707.3084106445312
2000-11-15,958.6282958984375
2000-12-15,947.167724609375
2001-01-15,975.0070190429688
2001-02-15,1435.7601318359375
2001-03-15,1618.957763671875
2001-04-15,2589.7744140625
2001-05-15,1440.7930908203125
2001-06-15,1097.2474365234375
2001-07-15,1596.1253662109375
2001-08-15,1361.9693603515625
2001-09-15,1794.07421875
2001-10-15,524.7288818359375
2001-11-15,954.3605346679688
2001-12-15,354.58111572265625
2002-01-15,386.5382385253906
2002-02-15,1221.3770751953125
2002-03-15,795.0697631835938
2002-04-15,1032.7064208984375
2002-05-15,1260.2308349609375
2002-06-15,1223.6907958984375
2002-07-15,1421.161376953125
2002-08-15,1727.740966796875
2002-09-15,773.3589477539062
2002-10-15,1026.8260498046875
2002-11-15,1194.635498046875
2002-12-15,1632.9085693359375
2003-01-15,1417.3624267578125
2003-02-15,444.91876220703125
2003-03-15,241.5919952392578
2003-04-15,1318.0787353515625
2003-05-15,1094.092529296875
2003-06-15,1771.0809326171875
2003-07-15,1154.1746826171875
2003-08-15,957.6787719726562
2003-09-15,318.7240295410156
2003-10-15,1343.25244140625
2003-11-15,549.7603149414062
2003-12-15,832.86962890625
2004-01-15,1407.1337890625
2004-02-15,714.5750732421875
2004-03-15,1585.1876220703125
2004-04-15,1599.6861572265625
2004-05-15,884.8866577148438
2004-06-15,1076.6414794921875
2004-07-15,2211.7421875
2004-08-15,2050.34765625
2004-09-15,718.102294921875
2004-10-15,1595.6611328125
2004-11-15,1140.7056884765625
2004-12-15,679.560302734375
2005-01-15,1046.5638427734375
2005-02-15,1218.93603515625
2005-03-15,1030.0384521484375
2005-04-15,1515.4658203125
2005-05-15,1616.42529296875
2005-06-15,849.1654052734375
2005-07-15,1765.3553466796875
2005-08-15,1292.845458984375
2005-09-15,722.5816040039062
2005-10-15,1361.68212890625
2005-11-15,997.8032836914062
2005-12-15,950.4376220703125
2006-01-15,734.0283203125
2006-02-15,770.469482421875
2006-03-15,1403.3963623046875
2006-04-15,1042.3707275390625
2006-05-15,1336.996826171875
2006-06-15,1542.628662109375
2006-07-15,1549.6151123046875
2006-08-15,1869.94384765625
2006-09-15,763.529052734375
2006-10-15,1072.1270751953125
2006-11-15,209.7905731201172
2006-12-15,277.7693786621094
2007-01-15,919.3721313476562
2007-02-15,797.2697143554688
2007-03-15,1241.66455078125
2007-04-15,1175.0570068359375
2007-05-15,2402.60546875
2007-06-15,1275.264404296875
2007-07-15,988.3057861328125
2007-08-15,2090.01318359375
2007-09-15,891.4479370117188
2007-10-15,698.138427734375
2007-11-15,1136.31005859375
2007-12-15,822.9717407226562
2008-01-15,599.6358642578125
2008-02-15,304.77685546875
2008-03-15,1432.4794921875
2008-04-15,1293.88525390625
2008-05-15,1133.589111328125
2008-06-15,1228.6243896484375
2008-07-15,1292.68701171875
2008-08-15,855.0382690429688
2008-09-15,702.7991333007812
2008-10-15,839.3765869140625
2008-11-15,1215.1865234375
2008-12-15,945.5648193359375
2009-01-15,215.2601776123047
2009-02-15,1348.767578125
2009-03-15,590.5256958007812
2009-04-15,1472.8060302734375
2009-05-15,1563.35888671875
2009-06-15,938.1157836914062
2009-07-15,1114.0479736328125
2009-08-15,1493.7110595703125
2009-09-15,581.7196044921875
2009-10-15,572.22021484375
2009-11-15,900.5233154296875
2009-12-15,859.2216186523438
2010-01-15,762.9956665039062
2010-02-15,844.83544921875
2010-03-15,714.599365234375
2010-04-15,507.1567077636719
2010-05-15,1329.7269287109375
2010-06-15,1379.398193359375
2010-07-15,1509.648193359375
2010-08-15,1509.714599609375
2010-09-15,794.3357543945312
2010-10-15,590.7435913085938
2010-11-15,728.0401000976562
2010-12-15,1105.371826171875
2011-01-15,574.375244140625
2011-02-15,498.7588806152344
2011-03-15,388.5799865722656
2011-04-15,914.2554321289062
2011-05-15,846.32373046875
2011-06-15,909.1471557617188
2011-07-15,974.3358154296875
2011-08-15,1124.5811767578125
2011-09-15,697.5440063476562
2011-10-15,494.78955078125
2011-11-15,380.9281005859375
2011-12-15,1056.087646484375
2012-01-15,716.9998168945312
2012-02-15,414.9902648925781
2012-03-15,340.7826232910156
2012-04-15,2239.642333984375
2012-05-15,974.8798217773438
2012-06-15,1039.86474609375
2012-07-15,504.43341064453125
2012-08-15,718.9428100585938
2012-09-15,525.7467041015625
2012-10-15,702.88330078125
2012-11-15,556.564697265625
2012-12-15,915.778076171875
2013-01-15,651.0086669921875
2013-02-15,857.4224853515625
2013-03-15,204.48936462402344
2013-04-15,846.85888671875
2013-05-15,1320.07470703125
2013-06-15,1116.640625
2013-07-15,1222.8765869140625
2013-08-15,315.53521728515625
2013-09-15,801.0172729492188
2013-10-15,1491.2899169921875
2013-11-15,1364.4415283203125
2013-12-15,419.0356140136719
2014-01-15,578.2520141601562
2014-02-15,528.5626831054688
2014-03-15,220.5034942626953
2014-04-15,686.9788208007812
2014-05-15,841.4971313476562
2014-06-15,775.6849365234375
2014-07-15,1362.599365234375
2014-08-15,801.4179077148438
2014-09-15,266.33575439453125
2014-10-15,490.2937927246094
2014-11-15,558.9038696289062
2014-12-15,853.4365234375
2015-01-15,741.7682495117188
2015-02-15,624.14599609375
2015-03-15,742.1917724609375
2015-04-15,483.03057861328125
2015-05-15,430.5556945800781
