time,concNtnh
2000-01-15,0.0029141525737941265
2000-02-15,0.0025711297057569027
2000-03-15,0.002843027701601386
2000-04-15,0.002054510172456503
2000-05-15,0.0011182697489857674
2000-06-15,0.0007063465309329331
2000-07-15,0.0008770011481828988
2000-08-15,0.00048126999172382057
2000-09-15,0.004421044606715441
2000-10-15,0.00780071597546339
2000-11-15,0.0018136727157980204
2000-12-15,0.001168529037386179
2001-01-15,0.0019314158707857132
2001-02-15,0.0029516147915273905
2001-03-15,0.0026205340400338173
2001-04-15,0.004283848684281111
2001-05-15,0.0012215421302244067
2001-06-15,0.003894083434715867
2001-07-15,0.0009036156116053462
2001-08-15,0.0012577947927638888
2001-09-15,0.002765882993116975
2001-10-15,
2001-11-15,
2001-12-15,
2002-01-15,0.002496289322152734
2002-02-15,
2002-03-15,
2002-04-15,
2002-05-15,0.0037249340675771236
2002-06-15,0.03347976878285408
2002-07-15,0.0019584556575864553
2002-08-15,0.00028317791293375194
2002-09-15,0.001225668122060597
2002-10-15,0.0029709001537412405
2002-11-15,0.0005770997959189117
2002-12-15,0.003924228250980377
2003-01-15,0.003144521964713931
2003-02-15,0.0043943715281784534
2003-03-15,0.0014794778544455767
2003-04-15,0.011668373830616474
2003-05-15,
2003-06-15,0.010885504074394703
2003-07-15,0.0017137022223323584
2003-08-15,0.0013181238900870085
2003-09-15,0.0009310443419963121
2003-10-15,0.0009398796246387064
2003-11-15,0.0010735660325735807
2003-12-15,0.0011904892744496465
2004-01-15,0.0028125650715082884
2004-02-15,0.003695025108754635
2004-03-15,0.020635394379496574
2004-04-15,0.004850595258176327
2004-05-15,0.0012180040357634425
2004-06-15,0.0008440919918939471
2004-07-15,
2004-08-15,0.005943845026195049
2004-09-15,0.0014283029595389962
2004-10-15,0.00039762852247804403
2004-11-15,0.0004171702021267265
2004-12-15,0.003637567162513733
2005-01-15,0.0033222241327166557
2005-02-15,0.0120297996327281
2005-03-15,0.0018948864890262485
2005-04-15,0.0032389156986027956
2005-05-15,0.0016254904912784696
2005-06-15,0.0010097281774505973
2005-07-15,0.0034129999112337828
2005-08-15,0.00044784348574467003
2005-09-15,0.0009702613460831344
2005-10-15,0.000686574203427881
2005-11-15,0.0004627429589163512
2005-12-15,0.004248856566846371
2006-01-15,0.008982242085039616
2006-02-15,0.0015822724672034383
2006-03-15,0.002612868556752801
2006-04-15,0.01901373825967312
2006-05-15,0.07137392461299896
2006-06-15,0.0010799419833347201
2006-07-15,0.0007576494826935232
2006-08-15,0.0003864987229462713
2006-09-15,0.0008815119508653879
2006-10-15,0.0007407282246276736
2006-11-15,0.000963868573307991
2006-12-15,0.0006876994157209992
2007-01-15,0.002520949114114046
2007-02-15,0.0010866918601095676
2007-03-15,0.0026343208737671375
2007-04-15,0.0020662755705416203
2007-05-15,0.001353936968371272
2007-06-15,0.000569643743801862
