time,vmrc2h6
2000-01-15,7.216930389404297
2000-02-15,5.313522815704346
2000-03-15,5.57590913772583
2000-04-15,5.534377574920654
2000-05-15,5.814272880554199
2000-06-15,5.341906547546387
2000-07-15,4.382498741149902
2000-08-15,6.4709367752075195
2000-09-15,4.984445095062256
2000-10-15,
2000-11-15,6.2780656814575195
2000-12-15,6.9635910987854
2001-01-15,6.970944404602051
2001-02-15,6.946889400482178
2001-03-15,5.5588603019714355
2001-04-15,4.808111190795898
2001-05-15,5.378219127655029
2001-06-15,4.630535125732422
2001-07-15,4.501646041870117
2001-08-15,5.4851789474487305
2001-09-15,5.194953441619873
2001-10-15,5.761338233947754
2001-11-15,5.9012837409973145
2001-12-15,5.427502632141113
2002-01-15,6.533308506011963
2002-02-15,4.576516151428223
2002-03-15,5.7433061599731445
2002-04-15,5.4972734451293945
2002-05-15,5.387861728668213
2002-06-15,4.887266635894775
2002-07-15,5.077208518981934
2002-08-15,6.397518634796143
2002-09-15,5.118753910064697
2002-10-15,5.031451225280762
2002-11-15,6.112133979797363
2002-12-15,6.783331871032715
2003-01-15,5.677090644836426
2003-02-15,6.686459541320801
2003-03-15,6.26737642288208
2003-04-15,5.040781497955322
2003-05-15,4.836397171020508
2003-06-15,5.581604480743408
2003-07-15,4.582701206207275
2003-08-15,4.734234809875488
2003-09-15,4.960776329040527
2003-10-15,4.671173572540283
2003-11-15,6.1908650398254395
2003-12-15,6.144787311553955
2004-01-15,5.227289199829102
2004-02-15,5.573863506317139
2004-03-15,6.422297954559326
2004-04-15,5.270499229431152
2004-05-15,5.007999897003174
2004-06-15,4.3730926513671875
2004-07-15,4.36255407333374
2004-08-15,4.636951446533203
2004-09-15,4.623208045959473
2004-10-15,5.5111894607543945
2004-11-15,5.835169315338135
2004-12-15,7.814810752868652
2005-01-15,4.821882724761963
2005-02-15,6.514884948730469
2005-03-15,6.368309020996094
2005-04-15,5.085145473480225
2005-05-15,4.695980548858643
2005-06-15,4.815731048583984
2005-07-15,3.727494478225708
2005-08-15,4.973755359649658
2005-09-15,5.318637371063232
2005-10-15,5.725943088531494
2005-11-15,6.055642604827881
2005-12-15,6.792143821716309
2006-01-15,7.10984468460083
2006-02-15,7.106546401977539
2006-03-15,5.589803695678711
2006-04-15,5.478219032287598
2006-05-15,4.542173385620117
2006-06-15,5.171454906463623
2006-07-15,5.026895999908447
2006-08-15,3.9282124042510986
2006-09-15,5.395026683807373
2006-10-15,5.038346767425537
2006-11-15,5.019003391265869
2006-12-15,5.41873025894165
2007-01-15,4.188625335693359
2007-02-15,5.446714878082275
2007-03-15,5.39777135848999
2007-04-15,5.051629543304443
2007-05-15,4.574270725250244
2007-06-15,4.822305202484131
2007-07-15,3.853419303894043
2007-08-15,5.384550094604492
2007-09-15,4.1989898681640625
2007-10-15,5.778897762298584
2007-11-15,5.650232315063477
2007-12-15,5.324054718017578
2008-01-15,5.468968391418457
2008-02-15,6.763312816619873
2008-03-15,4.553502559661865
2008-04-15,5.215203285217285
2008-05-15,4.903693675994873
2008-06-15,5.163373947143555
2008-07-15,4.261425495147705
2008-08-15,4.433549880981445
2008-09-15,4.602070331573486
2008-10-15,5.162431240081787
2008-11-15,5.363275051116943
2008-12-15,7.19955587387085
2009-01-15,6.960176944732666
2009-02-15,6.0421671867370605
2009-03-15,4.943443775177002
2009-04-15,5.385737895965576
2009-05-15,4.59088659286499
2009-06-15,4.278511047363281
2009-07-15,4.047632694244385
2009-08-15,4.436911582946777
2009-09-15,5.285486698150635
2009-10-15,4.897105693817139
2009-11-15,4.3909406661987305
2009-12-15,5.307861328125
2010-01-15,8.125438690185547
2010-02-15,6.53751802444458
2010-03-15,5.073724746704102
2010-04-15,5.60054349899292
2010-05-15,4.992471694946289
2010-06-15,4.9538702964782715
2010-07-15,4.879941940307617
2010-08-15,4.3570475578308105
2010-09-15,4.897638320922852
2010-10-15,5.406702518463135
2010-11-15,5.706396102905273
2010-12-15,6.985596179962158
2011-01-15,5.855292797088623
2011-02-15,7.45147705078125
2011-03-15,5.725682735443115
2011-04-15,4.849695205688477
2011-05-15,4.543605327606201
2011-06-15,4.475563049316406
2011-07-15,4.320651531219482
2011-08-15,4.323084831237793
2011-09-15,4.494794845581055
2011-10-15,4.745962619781494
2011-11-15,6.841282367706299
2011-12-15,4.150530815124512
2012-01-15,5.136071681976318
2012-02-15,5.553842067718506
2012-03-15,6.108093738555908
2012-04-15,5.185654163360596
2012-05-15,4.343814373016357
2012-06-15,4.361303329467773
2012-07-15,4.2714667320251465
2012-08-15,4.728321552276611
2012-09-15,4.571242332458496
2012-10-15,5.604531764984131
2012-11-15,6.06925630569458
2012-12-15,4.814858913421631
2013-01-15,6.284826755523682
2013-02-15,6.997687816619873
2013-03-15,5.693288803100586
2013-04-15,5.405313968658447
2013-05-15,4.891143798828125
2013-06-15,4.474847793579102
2013-07-15,4.059118747711182
2013-08-15,4.9075236320495605
2013-09-15,4.472230434417725
2013-10-15,4.791074752807617
2013-11-15,4.9662089347839355
2013-12-15,5.97324275970459
2014-01-15,5.910530090332031
2014-02-15,5.801149368286133
2014-03-15,5.550849437713623
2014-04-15,5.115684986114502
2014-05-15,4.1976447105407715
2014-06-15,4.404921054840088
2014-07-15,4.560694217681885
2014-08-15,4.236437797546387
2014-09-15,5.476388454437256
2014-10-15,5.004207611083984
2014-11-15,6.248783111572266
2014-12-15,5.284765720367432
2015-01-15,5.105571269989014
2015-02-15,6.017755508422852
2015-03-15,5.483546733856201
2015-04-15,4.391346454620361
2015-05-15,4.521824836730957
