time,concNnh3
2000-01-15,
2000-02-15,
2000-03-15,
2000-04-15,
2000-05-15,
2000-06-15,
2000-07-15,
2000-08-15,
2000-09-15,
2000-10-15,
2000-11-15,
2000-12-15,
2001-01-15,
2001-02-15,
2001-03-15,
2001-04-15,
2001-05-15,
2001-06-15,
2001-07-15,
2001-08-15,
2001-09-15,
2001-10-15,
2001-11-15,
2001-12-15,
2002-01-15,
2002-02-15,
2002-03-15,
2002-04-15,
2002-05-15,
2002-06-15,
2002-07-15,
2002-08-15,
2002-09-15,
2002-10-15,
2002-11-15,
2002-12-15,
2003-01-15,
2003-02-15,
2003-03-15,
2003-04-15,
2003-05-15,
2003-06-15,
2003-07-15,
2003-08-15,
2003-09-15,
2003-10-15,
2003-11-15,
2003-12-15,
2004-01-15,
2004-02-15,
2004-03-15,
2004-04-15,
2004-05-15,
2004-06-15,
2004-07-15,
2004-08-15,0.46907275915145874
2004-09-15,0.6226987838745117
2004-10-15,0.5586291551589966
2004-11-15,0.32035958766937256
2004-12-15,0.05862092226743698
2005-01-15,0.23725584149360657
2005-02-15,0.15520882606506348
2005-03-15,0.21317754685878754
2005-04-15,0.3516077399253845
2005-05-15,1.0592790842056274
2005-06-15,0.38627147674560547
2005-07-15,0.3319787383079529
2005-08-15,0.36101391911506653
2005-09-15,0.6508013010025024
2005-10-15,0.2683079242706299
2005-11-15,0.1583201140165329
2005-12-15,0.14046674966812134
2006-01-15,0.11686702072620392
2006-02-15,0.260285884141922
2006-03-15,0.20540601015090942
2006-04-15,0.36654603481292725
2006-05-15,1.0118389129638672
2006-06-15,0.44278764724731445
2006-07-15,0.37808212637901306
2006-08-15,0.2428443282842636
2006-09-15,0.49857401847839355
2006-10-15,0.28375914692878723
2006-11-15,0.15488718450069427
2006-12-15,0.16050899028778076
2007-01-15,0.1874857246875763
2007-02-15,0.1410292237997055
2007-03-15,0.18927223980426788
2007-04-15,0.16213113069534302
2007-05-15,0.5513928532600403
2007-06-15,0.4087713360786438
2007-07-15,0.3259490728378296
2007-08-15,0.2402220517396927
2007-09-15,0.5373902916908264
2007-10-15,0.31162911653518677
2007-11-15,0.31074008345603943
2007-12-15,0.23319551348686218
2008-01-15,
2008-02-15,0.15248869359493256
2008-03-15,0.2785217761993408
2008-04-15,0.21435901522636414
2008-05-15,0.4970938265323639
2008-06-15,0.3117341101169586
2008-07-15,0.45183467864990234
2008-08-15,0.45064282417297363
2008-09-15,0.4097205102443695
2008-10-15,0.34140318632125854
2008-11-15,0.14242003858089447
2008-12-15,0.11185483634471893
2009-01-15,0.1095205694437027
2009-02-15,0.17414149641990662
2009-03-15,0.3272806406021118
2009-04-15,0.4204433262348175
2009-05-15,0.9525706171989441
2009-06-15,0.4620092809200287
2009-07-15,0.5053118467330933
2009-08-15,0.4924217760562897
2009-09-15,0.6492173671722412
2009-10-15,0.4866560399532318
2009-11-15,0.3239167332649231
2009-12-15,0.19867783784866333
2010-01-15,0.10601577162742615
2010-02-15,0.10899297147989273
2010-03-15,0.18112331628799438
2010-04-15,0.401273250579834
2010-05-15,0.767831027507782
2010-06-15,0.32808253169059753
2010-07-15,0.3931552767753601
2010-08-15,0.4023546278476715
2010-09-15,0.5639795660972595
2010-10-15,0.4547216296195984
2010-11-15,0.2582013010978699
2010-12-15,0.18035925924777985
2011-01-15,0.10994628071784973
2011-02-15,0.17106415331363678
2011-03-15,0.0920061320066452
2011-04-15,0.34210872650146484
2011-05-15,0.659532368183136
2011-06-15,0.4189266264438629
2011-07-15,0.41948118805885315
2011-08-15,0.4158087968826294
2011-09-15,0.7514203786849976
2011-10-15,0.281063973903656
2011-11-15,0.13469332456588745
2011-12-15,0.2549116909503937
2012-01-15,0.2165166437625885
2012-02-15,0.12085561454296112
2012-03-15,0.27226027846336365
2012-04-15,0.2642565667629242
2012-05-15,0.844957709312439
2012-06-15,0.5165035724639893
2012-07-15,0.39161986112594604
2012-08-15,0.3528551757335663
2012-09-15,0.5415130853652954
2012-10-15,0.36772119998931885
2012-11-15,0.11014916002750397
2012-12-15,0.16952621936798096
2013-01-15,0.1249108538031578
2013-02-15,0.15142139792442322
2013-03-15,0.11265148222446442
2013-04-15,0.2625712454319
2013-05-15,0.5853533148765564
2013-06-15,0.39936375617980957
2013-07-15,0.3956778645515442
2013-08-15,0.44596725702285767
2013-09-15,0.5573338270187378
2013-10-15,0.2958642542362213
2013-11-15,0.15379127860069275
2013-12-15,0.18260759115219116
2014-01-15,0.1322740912437439
2014-02-15,0.19059090316295624
2014-03-15,0.23315376043319702
2014-04-15,0.41338515281677246
2014-05-15,1.0190035104751587
2014-06-15,0.44860461354255676
2014-07-15,0.35396692156791687
2014-08-15,0.4911360442638397
2014-09-15,0.3790733814239502
2014-10-15,0.3378142714500427
2014-11-15,0.21588993072509766
2014-12-15,0.15954682230949402
2015-01-15,0.3225957155227661
2015-02-15,0.11840754002332687
2015-03-15,0.3145432472229004
2015-04-15,0.33200356364250183
2015-05-15,0.9695361852645874
2015-06-15,0.5954952239990234
2015-07-15,0.5191939473152161
2015-08-15,0.4026066064834595
2015-09-15,0.7014175057411194
2015-10-15,0.3352980315685272
2015-11-15,0.3373463451862335
2015-12-15,0.29015618562698364
2016-01-15,0.12966597080230713
2016-02-15,0.1766747087240219
2016-03-15,0.24442219734191895
2016-04-15,0.2319241613149643
2016-05-15,0.7511743903160095
2016-06-15,0.46916043758392334
2016-07-15,0.42551887035369873
2016-08-15,0.4944681227207184
2016-09-15,0.7813558578491211
2016-10-15,0.46585822105407715
