time,vmrisop
2019-03-15,0.0324399508535862
2019-04-15,0.05032920092344284
2019-05-15,0.08877000212669373
2019-06-15,
2019-07-15,0.26019173860549927
2019-08-15,0.2174600213766098
2019-09-15,0.11387123912572861
2019-10-15,0.07639513909816742
2019-11-15,0.03302519768476486
2019-12-15,0.04664826765656471
