time,concno2
2000-01-15,
2000-02-15,
2000-03-15,
2000-04-15,
2000-05-15,
2000-06-15,
2000-07-15,
2000-08-15,
2000-09-15,
2000-10-15,
2000-11-15,
2000-12-15,
2001-01-15,
2001-02-15,
2001-03-15,
2001-04-15,
2001-05-15,
2001-06-15,
2001-07-15,
2001-08-15,
2001-09-15,
2001-10-15,
2001-11-15,
2001-12-15,
2002-01-15,
2002-02-15,
2002-03-15,
2002-04-15,
2002-05-15,
2002-06-15,
2002-07-15,
2002-08-15,
2002-09-15,
2002-10-15,
2002-11-15,
2002-12-15,
2003-01-15,
2003-02-15,
2003-03-15,
2003-04-15,
2003-05-15,
2003-06-15,
2003-07-15,
2003-08-15,
2003-09-15,
2003-10-15,
2003-11-15,
2003-12-15,
2004-01-15,
2004-02-15,2.3179166316986084
2004-03-15,2.9693174362182617
2004-04-15,2.8264174461364746
2004-05-15,1.7155373096466064
2004-06-15,2.386280059814453
2004-07-15,3.1489362716674805
2004-08-15,2.5929696559906006
2004-09-15,3.437023401260376
2004-10-15,4.138291835784912
2004-11-15,3.738386869430542
2004-12-15,5.179548263549805
2005-01-15,4.751657962799072
2005-02-15,3.86564302444458
2005-03-15,3.2438559532165527
2005-04-15,3.179271697998047
2005-05-15,2.6122989654541016
2005-06-15,2.2820026874542236
2005-07-15,3.1430418491363525
2005-08-15,3.2521910667419434
2005-09-15,4.256507873535156
2005-10-15,7.098892688751221
2005-11-15,5.363378047943115
2005-12-15,3.9760122299194336
2006-01-15,4.928147315979004
2006-02-15,2.869816541671753
2006-03-15,2.1909615993499756
2006-04-15,3.0695302486419678
2006-05-15,2.473670244216919
2006-06-15,3.1714694499969482
2006-07-15,3.8324568271636963
2006-08-15,2.517159938812256
2006-09-15,5.260298252105713
2006-10-15,3.7596518993377686
2006-11-15,6.156787395477295
2006-12-15,4.13985013961792
2007-01-15,3.3222012519836426
2007-02-15,2.8431737422943115
2007-03-15,3.4477529525756836
2007-04-15,2.3507063388824463
2007-05-15,2.468029737472534
2007-06-15,2.406648874282837
2007-07-15,2.4647772312164307
2007-08-15,2.9101223945617676
2007-09-15,2.729311943054199
2007-10-15,5.690642356872559
2007-11-15,5.3635478019714355
2007-12-15,3.9030168056488037
2008-01-15,4.724296569824219
2008-02-15,3.9714741706848145
2008-03-15,2.8738725185394287
2008-04-15,3.1395134925842285
2008-05-15,2.2349748611450195
2008-06-15,2.786970853805542
2008-07-15,2.9628217220306396
2008-08-15,3.163954734802246
2008-09-15,3.7929019927978516
2008-10-15,3.606947422027588
2008-11-15,4.0196123123168945
2008-12-15,4.777489185333252
2009-01-15,5.780498027801514
2009-02-15,5.595178604125977
2009-03-15,4.115131378173828
2009-04-15,4.381976127624512
2009-05-15,2.684751033782959
2009-06-15,2.1336829662323
2009-07-15,2.9115121364593506
2009-08-15,3.970149278640747
2009-09-15,2.4776391983032227
2009-10-15,3.1723814010620117
2009-11-15,4.783930778503418
2009-12-15,3.3948755264282227
2010-01-15,3.0153205394744873
2010-02-15,3.1694633960723877
2010-03-15,3.6222829818725586
2010-04-15,2.9413468837738037
2010-05-15,1.916168212890625
2010-06-15,2.7261269092559814
2010-07-15,3.313448190689087
2010-08-15,3.1062283515930176
2010-09-15,2.5392801761627197
2010-10-15,4.07169246673584
2010-11-15,2.031132459640503
2010-12-15,2.0217647552490234
2011-01-15,4.060274124145508
2011-02-15,4.508580207824707
2011-03-15,2.29325008392334
2011-04-15,2.985703945159912
2011-05-15,3.0682802200317383
2011-06-15,2.895002603530884
2011-07-15,2.9417154788970947
2011-08-15,3.4121055603027344
2011-09-15,3.3068933486938477
2011-10-15,3.8816659450531006
2011-11-15,6.1198625564575195
2011-12-15,5.362983703613281
2012-01-15,4.139326095581055
2012-02-15,4.710400581359863
2012-03-15,2.541682004928589
2012-04-15,2.12794828414917
2012-05-15,2.021556854248047
2012-06-15,2.4693524837493896
2012-07-15,3.1276421546936035
2012-08-15,3.4981281757354736
2012-09-15,2.573697090148926
2012-10-15,3.2423360347747803
2012-11-15,4.448832035064697
2012-12-15,5.728235721588135
2013-01-15,4.90454626083374
2013-02-15,2.5867507457733154
2013-03-15,2.275570869445801
2013-04-15,2.854198694229126
2013-05-15,2.254422426223755
2013-06-15,2.5820860862731934
2013-07-15,2.680046796798706
2013-08-15,3.345067024230957
2013-09-15,3.8069002628326416
2013-10-15,4.6225714683532715
2013-11-15,4.108803749084473
2013-12-15,4.77620792388916
2014-01-15,3.1406006813049316
2014-02-15,4.145429611206055
2014-03-15,2.243176221847534
2014-04-15,2.861959934234619
2014-05-15,2.4897143840789795
2014-06-15,1.3251872062683105
2014-07-15,3.0037384033203125
2014-08-15,3.1804656982421875
2014-09-15,3.452669858932495
2014-10-15,3.4902193546295166
2014-11-15,3.649923324584961
2014-12-15,4.671778678894043
2015-01-15,4.899294853210449
2015-02-15,4.046072959899902
2015-03-15,3.2497472763061523
2015-04-15,2.2377986907958984
2015-05-15,2.1208739280700684
2015-06-15,2.1135005950927734
2015-07-15,2.9034759998321533
2015-08-15,3.8578574657440186
2015-09-15,2.252042531967163
2015-10-15,4.9636549949646
2015-11-15,4.715754508972168
2015-12-15,4.41428279876709
2016-01-15,3.1353073120117188
2016-02-15,3.3980610370635986
2016-03-15,3.6710493564605713
2016-04-15,2.216130256652832
2016-05-15,2.811972141265869
2016-06-15,2.2741308212280273
2016-07-15,3.476130485534668
2016-08-15,2.806173086166382
2016-09-15,4.515515327453613
2016-10-15,1.5983623266220093
2016-11-15,3.818244457244873
2016-12-15,4.107927322387695
