time,wetoxs
2000-01-15,
2000-02-15,
2000-03-15,
2000-04-15,
2000-05-15,
2000-06-15,
2000-07-15,
2000-08-15,
2000-09-15,
2000-10-15,
2000-11-15,
2000-12-15,
2001-01-15,
2001-02-15,
2001-03-15,
2001-04-15,
2001-05-15,
2001-06-15,
2001-07-15,
2001-08-15,
2001-09-15,
2001-10-15,
2001-11-15,
2001-12-15,
2002-01-15,
2002-02-15,
2002-03-15,
2002-04-15,
2002-05-15,
2002-06-15,
2002-07-15,
2002-08-15,
2002-09-15,
2002-10-15,
2002-11-15,
2002-12-15,
2003-01-15,134.49905395507812
2003-02-15,135.40707397460938
2003-03-15,135.54006958007812
2003-04-15,144.6200408935547
2003-05-15,393.524169921875
2003-06-15,229.05587768554688
2003-07-15,311.41552734375
2003-08-15,130.4029083251953
2003-09-15,109.41569519042969
2003-10-15,225.21112060546875
2003-11-15,76.44741821289062
2003-12-15,374.04425048828125
2004-01-15,301.63592529296875
2004-02-15,202.8802032470703
2004-03-15,144.23399353027344
2004-04-15,
2004-05-15,210.97021484375
2004-06-15,265.5638732910156
2004-07-15,515.719970703125
2004-08-15,219.62840270996094
2004-09-15,300.7243347167969
2004-10-15,138.56353759765625
2004-11-15,93.33255767822266
2004-12-15,
2005-01-15,198.01853942871094
2005-02-15,359.1549377441406
2005-03-15,
2005-04-15,165.64251708984375
2005-05-15,279.9586181640625
2005-06-15,286.685546875
2005-07-15,325.390869140625
2005-08-15,485.3636169433594
2005-09-15,293.0809326171875
2005-10-15,364.6974182128906
2005-11-15,554.3370361328125
2005-12-15,207.13365173339844
2006-01-15,121.9266128540039
2006-02-15,167.8159637451172
2006-03-15,106.80863189697266
2006-04-15,430.7267150878906
2006-05-15,513.3660278320312
2006-06-15,235.94061279296875
2006-07-15,265.2441101074219
2006-08-15,221.6670684814453
2006-09-15,273.1522521972656
2006-10-15,215.0289306640625
2006-11-15,316.6753845214844
2006-12-15,166.65621948242188
2007-01-15,59.88419723510742
2007-02-15,212.9410858154297
2007-03-15,151.48092651367188
2007-04-15,89.69148254394531
2007-05-15,376.7038879394531
2007-06-15,82.36568450927734
2007-07-15,348.6637878417969
2007-08-15,238.91476440429688
2007-09-15,175.72103881835938
2007-10-15,222.495849609375
2007-11-15,194.30538940429688
2007-12-15,180.21148681640625
2008-01-15,300.24237060546875
2008-02-15,154.32933044433594
2008-03-15,245.8825225830078
2008-04-15,388.3309020996094
2008-05-15,266.5491638183594
2008-06-15,222.0817108154297
2008-07-15,113.02095031738281
2008-08-15,113.37773132324219
2008-09-15,90.93899536132812
2008-10-15,55.354225158691406
2008-11-15,108.17042541503906
2008-12-15,368.4553527832031
2009-01-15,93.7930908203125
2009-02-15,158.84860229492188
2009-03-15,66.24143981933594
2009-04-15,110.10467529296875
2009-05-15,293.6089782714844
2009-06-15,160.9368133544922
2009-07-15,161.4411163330078
2009-08-15,193.84286499023438
2009-09-15,184.3104705810547
2009-10-15,79.5502700805664
2009-11-15,135.8594512939453
2009-12-15,138.5106964111328
2010-01-15,82.13671112060547
2010-02-15,240.78811645507812
2010-03-15,120.80848693847656
2010-04-15,149.68173217773438
2010-05-15,280.8079528808594
2010-06-15,167.81356811523438
2010-07-15,311.0620422363281
2010-08-15,203.03770446777344
2010-09-15,66.70039367675781
2010-10-15,95.70879364013672
2010-11-15,106.46437072753906
2010-12-15,77.02885437011719
2011-01-15,101.76752471923828
2011-02-15,82.93840026855469
2011-03-15,79.54755401611328
2011-04-15,54.185054779052734
2011-05-15,416.5399475097656
2011-06-15,364.16314697265625
2011-07-15,177.45846557617188
2011-08-15,386.168212890625
2011-09-15,338.9035949707031
2011-10-15,124.67552947998047
2011-11-15,186.75929260253906
2011-12-15,146.76528930664062
2012-01-15,154.6325225830078
2012-02-15,99.11997985839844
2012-03-15,67.7138442993164
2012-04-15,158.24246215820312
2012-05-15,129.57748413085938
2012-06-15,308.33551025390625
2012-07-15,198.08741760253906
2012-08-15,76.55685424804688
2012-09-15,132.88023376464844
2012-10-15,135.4373016357422
2012-11-15,191.75030517578125
2012-12-15,391.2370910644531
2013-01-15,49.392120361328125
2013-02-15,84.00838470458984
2013-03-15,73.49280548095703
2013-04-15,110.7850112915039
2013-05-15,103.1855697631836
2013-06-15,441.67340087890625
2013-07-15,79.41976928710938
2013-08-15,159.14263916015625
2013-09-15,107.50350952148438
2013-10-15,129.52276611328125
2013-11-15,41.6075553894043
2013-12-15,73.34959411621094
2014-01-15,18.751495361328125
2014-02-15,273.9812927246094
2014-03-15,165.6966552734375
2014-04-15,45.08570098876953
2014-05-15,141.3805694580078
2014-06-15,261.0226135253906
2014-07-15,191.7555694580078
2014-08-15,92.17235565185547
2014-09-15,359.178466796875
2014-10-15,320.96795654296875
2014-11-15,149.4225311279297
2014-12-15,214.74606323242188
2015-01-15,492.26556396484375
2015-02-15,526.9028930664062
2015-03-15,166.00221252441406
2015-04-15,
2015-05-15,155.6810302734375
2015-06-15,118.21646118164062
2015-07-15,193.0498504638672
2015-08-15,152.826416015625
2015-09-15,172.33543395996094
2015-10-15,102.17111206054688
2015-11-15,88.01377868652344
2015-12-15,61.42074203491211
2016-01-15,98.9189453125
2016-02-15,114.88725280761719
2016-03-15,48.151634216308594
2016-04-15,135.56195068359375
2016-05-15,116.23347473144531
2016-06-15,268.0397033691406
2016-07-15,438.42449951171875
2016-08-15,136.00051879882812
2016-09-15,66.63333129882812
2016-10-15,65.80791473388672
2016-11-15,90.5344467163086
2016-12-15,41.04238510131836
2017-01-15,87.88274383544922
