time,wetoxs
2000-01-15,1250.06591796875
2000-02-15,2166.2197265625
2000-03-15,3473.259033203125
2000-04-15,4943.03076171875
2000-05-15,5186.18701171875
2000-06-15,2872.800537109375
2000-07-15,5399.767578125
2000-08-15,5615.4033203125
2000-09-15,4653.4140625
2000-10-15,4615.06298828125
2000-11-15,5652.228515625
2000-12-15,3547.388671875
2001-01-15,4282.36181640625
2001-02-15,1564.126220703125
2001-03-15,4370.15234375
2001-04-15,5292.96728515625
2001-05-15,2328.484619140625
2001-06-15,4808.37890625
2001-07-15,4462.68896484375
2001-08-15,6029.95068359375
2001-09-15,1392.3426513671875
2001-10-15,3064.730712890625
2001-11-15,4248.7763671875
2001-12-15,1910.8551025390625
2002-01-15,2624.40185546875
2002-02-15,3857.706787109375
2002-03-15,1820.2698974609375
2002-04-15,3514.806640625
2002-05-15,5963.72216796875
2002-06-15,3223.599853515625
2002-07-15,4000.95849609375
2002-08-15,3777.6416015625
2002-09-15,3969.872314453125
2002-10-15,4601.62158203125
2002-11-15,5399.9130859375
2002-12-15,3147.373779296875
2003-01-15,5300.67578125
2003-02-15,2883.632080078125
2003-03-15,1694.2513427734375
2003-04-15,4864.01708984375
2003-05-15,3120.490478515625
2003-06-15,2738.9052734375
2003-07-15,4564.48291015625
2003-08-15,4056.113037109375
2003-09-15,4197.4072265625
2003-10-15,5213.9833984375
2003-11-15,4118.78271484375
2003-12-15,2496.145751953125
2004-01-15,4654.32373046875
2004-02-15,1906.01806640625
2004-03-15,4727.98828125
2004-04-15,2900.787353515625
2004-05-15,4194.7255859375
2004-06-15,2823.566650390625
2004-07-15,4203.41357421875
2004-08-15,5684.943359375
2004-09-15,4061.002197265625
2004-10-15,6073.6767578125
2004-11-15,2811.889892578125
2004-12-15,3237.110595703125
2005-01-15,2344.084716796875
2005-02-15,3010.1298828125
2005-03-15,1928.954345703125
2005-04-15,5309.0869140625
2005-05-15,4287.90087890625
2005-06-15,2790.060791015625
2005-07-15,3136.299560546875
2005-08-15,1974.3809814453125
2005-09-15,3829.755859375
2005-10-15,3761.573974609375
2005-11-15,5083.91552734375
2005-12-15,5023.94140625
2006-01-15,2934.803466796875
2006-02-15,2117.86669921875
2006-03-15,2807.8359375
2006-04-15,2696.76904296875
2006-05-15,3541.888427734375
2006-06-15,2280.5947265625
2006-07-15,4503.609375
2006-08-15,3203.66748046875
2006-09-15,3727.954833984375
2006-10-15,3362.7890625
2006-11-15,2521.74072265625
2006-12-15,2356.61669921875
2007-01-15,2823.9375
2007-02-15,3232.512939453125
2007-03-15,3100.397216796875
2007-04-15,2554.816650390625
2007-05-15,3429.35009765625
2007-06-15,4357.06640625
2007-07-15,4555.76123046875
2007-08-15,3898.88916015625
2007-09-15,2629.570068359375
2007-10-15,2572.467041015625
2007-11-15,2169.06982421875
2007-12-15,2546.72314453125
2008-01-15,698.3788452148438
2008-02-15,501.23101806640625
2008-03-15,2279.498779296875
2008-04-15,1909.4039306640625
2008-05-15,2566.0771484375
2008-06-15,2110.251220703125
2008-07-15,1981.7861328125
2008-08-15,2939.144287109375
2008-09-15,1468.3621826171875
2008-10-15,2251.882568359375
2008-11-15,2052.9384765625
2008-12-15,1553.2076416015625
2009-01-15,1519.7225341796875
2009-02-15,691.4163818359375
2009-03-15,851.9679565429688
2009-04-15,1496.8819580078125
2009-05-15,1076.12841796875
2009-06-15,1153.2801513671875
2009-07-15,1780.9251708984375
2009-08-15,1449.3648681640625
2009-09-15,852.022216796875
2009-10-15,642.0787353515625
2009-11-15,1329.6328125
2009-12-15,1229.6373291015625
2010-01-15,1949.3701171875
2010-02-15,1066.48681640625
2010-03-15,1174.697998046875
2010-04-15,699.0140991210938
2010-05-15,1547.5638427734375
2010-06-15,1921.7640380859375
2010-07-15,793.6686401367188
2010-08-15,899.9259033203125
2010-09-15,1526.082763671875
2010-10-15,916.880615234375
2010-11-15,1917.1273193359375
2010-12-15,1199.4820556640625
2011-01-15,1281.0819091796875
2011-02-15,933.318603515625
2011-03-15,1507.07470703125
2011-04-15,994.6973876953125
2011-05-15,868.3062744140625
2011-06-15,1433.705078125
2011-07-15,1864.2359619140625
2011-08-15,1561.1824951171875
2011-09-15,1134.691162109375
2011-10-15,780.911865234375
2011-11-15,851.5875244140625
2011-12-15,1332.647216796875
2012-01-15,1668.7213134765625
2012-02-15,1891.2586669921875
2012-03-15,907.1240234375
2012-04-15,2585.188232421875
2012-05-15,859.4038696289062
2012-06-15,1696.944091796875
2012-07-15,1617.692626953125
2012-08-15,1269.206298828125
2012-09-15,809.2099609375
2012-10-15,1594.847900390625
2012-11-15,1591.89208984375
2012-12-15,1053.9971923828125
2013-01-15,1548.16796875
2013-02-15,1830.4974365234375
2013-03-15,989.1046752929688
2013-04-15,1639.0594482421875
2013-05-15,1868.8310546875
2013-06-15,1215.373046875
2013-07-15,697.0743408203125
2013-08-15,796.4526977539062
2013-09-15,908.7239990234375
2013-10-15,512.1043090820312
2013-11-15,2073.332763671875
2013-12-15,672.6937255859375
2014-01-15,1842.0958251953125
2014-02-15,887.6638793945312
2014-03-15,1130.8502197265625
2014-04-15,1394.006103515625
2014-05-15,1151.8634033203125
2014-06-15,1250.55810546875
2014-07-15,1105.9781494140625
2014-08-15,1598.425048828125
2014-09-15,1233.9027099609375
2014-10-15,963.1812133789062
2014-11-15,1389.9676513671875
2014-12-15,1994.30908203125
2015-01-15,1605.758056640625
2015-02-15,2606.439208984375
2015-03-15,1155.663818359375
2015-04-15,1548.199951171875
2015-05-15,938.1571044921875
