time,concNtno3
2000-01-15,0.5755606293678284
2000-02-15,0.6086844205856323
2000-03-15,0.26638469099998474
2000-04-15,0.47646364569664
2000-05-15,0.41320547461509705
2000-06-15,0.3947911560535431
2000-07-15,0.27117884159088135
2000-08-15,0.4176764190196991
2000-09-15,0.3248366713523865
2000-10-15,0.7349877953529358
2000-11-15,0.9467000365257263
2000-12-15,0.8066531419754028
2001-01-15,0.669876754283905
2001-02-15,0.37890195846557617
2001-03-15,0.44633063673973083
2001-04-15,0.6894882917404175
2001-05-15,0.4362073838710785
2001-06-15,0.3656868040561676
2001-07-15,0.23496246337890625
2001-08-15,0.3903316557407379
2001-09-15,0.2708045542240143
2001-10-15,0.7374283075332642
2001-11-15,0.1776702105998993
2001-12-15,0.394722044467926
2002-01-15,0.9293769598007202
2002-02-15,0.4969415068626404
2002-03-15,0.6565860509872437
2002-04-15,0.48811349272727966
2002-05-15,0.3246508240699768
2002-06-15,0.2772590219974518
2002-07-15,0.3493361473083496
2002-08-15,0.3431583046913147
2002-09-15,0.23895631730556488
2002-10-15,0.1928776204586029
2002-11-15,0.5808433294296265
2002-12-15,0.4680265188217163
2003-01-15,0.6434402465820312
2003-02-15,0.8798953890800476
2003-03-15,0.6542721390724182
2003-04-15,0.42364418506622314
2003-05-15,0.7212995886802673
2003-06-15,0.3172342777252197
2003-07-15,0.2505841851234436
2003-08-15,0.18249540030956268
2003-09-15,0.4801126718521118
2003-10-15,0.29664960503578186
2003-11-15,1.0579432249069214
2003-12-15,0.6502630710601807
2004-01-15,0.5156120657920837
2004-02-15,0.4234648048877716
2004-03-15,0.6966758370399475
2004-04-15,0.31395721435546875
2004-05-15,0.29854175448417664
2004-06-15,0.2959572672843933
2004-07-15,0.32774898409843445
2004-08-15,0.3564266860485077
2004-09-15,0.3026838004589081
2004-10-15,0.476060152053833
2004-11-15,0.45927372574806213
2004-12-15,0.6113577485084534
2005-01-15,0.47792860865592957
2005-02-15,0.6037682890892029
2005-03-15,0.529228687286377
2005-04-15,0.5601462721824646
2005-05-15,0.5366608500480652
2005-06-15,0.3662605583667755
2005-07-15,0.26938939094543457
2005-08-15,0.33902329206466675
2005-09-15,0.5332800149917603
2005-10-15,0.5117447376251221
2005-11-15,0.7996025681495667
2005-12-15,0.30528491735458374
2006-01-15,0.6921551823616028
2006-02-15,0.43504253029823303
2006-03-15,0.5804010033607483
2006-04-15,0.669154167175293
2006-05-15,0.4746159017086029
2006-06-15,0.32657086849212646
2006-07-15,0.3561873137950897
2006-08-15,0.20197585225105286
2006-09-15,0.8852288126945496
2006-10-15,0.587614119052887
2006-11-15,0.8358961343765259
2006-12-15,0.6732302308082581
2007-01-15,0.2879781723022461
2007-02-15,0.3458559811115265
2007-03-15,0.7404129505157471
2007-04-15,0.2134460210800171
2007-05-15,0.5039209127426147
2007-06-15,0.31275978684425354
2007-07-15,0.3867074251174927
2007-08-15,0.34643158316612244
2007-09-15,0.5019400715827942
2007-10-15,0.42971718311309814
2007-11-15,0.43302255868911743
2007-12-15,0.7766777276992798
2008-01-15,0.72919100522995
2008-02-15,0.7274022102355957
2008-03-15,0.29816681146621704
2008-04-15,0.42291149497032166
2008-05-15,0.23912391066551208
2008-06-15,0.2580278515815735
2008-07-15,0.2432091385126114
2008-08-15,0.2698703408241272
2008-09-15,0.28151047229766846
2008-10-15,0.5609702467918396
2008-11-15,0.4341082274913788
2008-12-15,0.5577499270439148
2009-01-15,0.4529109597206116
2009-02-15,0.4448918402194977
2009-03-15,0.38379472494125366
2009-04-15,0.3119896352291107
2009-05-15,0.3369795083999634
2009-06-15,0.17342127859592438
2009-07-15,0.31595370173454285
2009-08-15,0.2561812102794647
2009-09-15,0.3183874487876892
2009-10-15,0.23962703347206116
2009-11-15,0.626088559627533
2009-12-15,0.4804246127605438
2010-01-15,
2010-02-15,
2010-03-15,
2010-04-15,
2010-05-15,
2010-06-15,
2010-07-15,
2010-08-15,
2010-09-15,
2010-10-15,
2010-11-15,
2010-12-15,
2011-01-15,
2011-02-15,
2011-03-15,
2011-04-15,
2011-05-15,
2011-06-15,
2011-07-15,
2011-08-15,
2011-09-15,
2011-10-15,
2011-11-15,
2011-12-15,
2012-01-15,
2012-02-15,
2012-03-15,
2012-04-15,
2012-05-15,
2012-06-15,
2012-07-15,
2012-08-15,
2012-09-15,
2012-10-15,
2012-11-15,
2012-12-15,
2013-01-15,
2013-02-15,0.5892007350921631
2013-03-15,0.27482470870018005
2013-04-15,0.5168742537498474
2013-05-15,0.4248602092266083
2013-06-15,0.3216187655925751
2013-07-15,0.24813120067119598
2013-08-15,0.22597503662109375
2013-09-15,0.13738125562667847
2013-10-15,0.4998720586299896
2013-11-15,0.3602851331233978
2013-12-15,0.7209485769271851
2014-01-15,0.42463114857673645
2014-02-15,
2014-03-15,0.2676513195037842
2014-04-15,
2014-05-15,0.5196056962013245
2014-06-15,0.13598152995109558
2014-07-15,
2014-08-15,0.09039881825447083
2014-09-15,0.2862975597381592
2014-10-15,0.4618411362171173
2014-11-15,
2014-12-15,0.24418289959430695
2015-01-15,0.43477576971054077
2015-02-15,0.7123458385467529
2015-03-15,0.5414194464683533
2015-04-15,0.3500106632709503
2015-05-15,0.43792325258255005
2015-06-15,0.28701937198638916
2015-07-15,0.23550696671009064
2015-08-15,0.2808133661746979
2015-09-15,0.3361181914806366
2015-10-15,0.4163186252117157
2015-11-15,0.4307175874710083
2015-12-15,0.5898258090019226
2016-01-15,0.463966965675354
2016-02-15,0.3399820029735565
2016-03-15,0.47084712982177734
