,var,station_id,station_name,latitude,longitude,altitude,unit,freq,framework,matrix
0,concNtno3,GE0001R,Abastumani,41.755053,42.825333,1650.0,ug N m-3,monthly,EMEP,air+aerosol
1,concNtno3,AM0001R,Amberd,40.38444444,44.260583333,2080.0,ug N m-3,monthly,EMEP,air+aerosol
2,concNtno3,DK0008R,Anholt,56.716667,11.516667,43.0,ug N m-3,monthly,CAMP EMEP;CAMP EMEP HELCOM,air+aerosol
3,concNtno3,SE0012R,Aspvreten,58.8,17.383333,20.0,ug N m-3,monthly,EMEP HELCOM,air+aerosol
4,concNtno3,GB0091R,Banchory,57.076667,-2.534444,120.0,ug N m-3,monthly,CAMP EMEP,air+aerosol
5,concNtno3,ES0011R,Barcarrota,38.47278,-6.92361,393.0,ug N m-3,monthly,EMEP,air+aerosol
6,concNtno3,NO0002R;NO0001R,Birkenes II,58.38853,8.252,219.0,ug N m-3,monthly,CAMP EMEP NILU,air+aerosol
7,concNtno3,SE0005R,Bredkälen,63.85,15.333333,404.0,ug N m-3,monthly,AMAP EMEP,air+aerosol
8,concNtno3,ES0010R,Cabo de Creus,42.31917,3.31583,76.0,ug N m-3,monthly,EMEP,air+aerosol
9,concNtno3,ES0009R,Campisabalos,41.27417,-3.1425,1360.0,ug N m-3,monthly,EMEP,air+aerosol
10,concNtno3,SK0002R,Chopok,48.933333,19.583333,2008.0,ug N m-3,monthly,EMEP,air+aerosol
11,concNtno3,CZ0005R,Churanov,49.066667,13.6,1118.0,ug N m-3,monthly,EMEP,air+aerosol
12,concNtno3,TR0001R,Cubuk II,40.5,33.0,1169.0,ug N m-3,monthly,EMEP,air+aerosol
13,concNtno3,DE0004R,Deuselbach,49.764722,7.051944,480.0,ug N m-3,monthly,EMEP,air+aerosol
14,concNtno3,PL0005R,Diabla Gora,54.15,22.066667,159.45,ug N m-3,monthly,EMEP,air+aerosol
15,concNtno3,ES0017R,Doñana,37.05194,-6.55528,35.0,ug N m-3,monthly,CAMP EMEP,air+aerosol
16,concNtno3,ES0014R,Els Torms,41.39389,0.73472,470.0,ug N m-3,monthly,EMEP,air+aerosol
