,var,station_id,station_name,latitude,longitude,altitude,unit,freq,framework,matrix
0,concNno3pm10,GE0001R,Abastumani,41.755053,42.825333,1650.0,ug N m-3,monthly,EMEP,aerosol
1,concNno3pm10,CY0002R,Agia Marina Xyliatou ; Cyprus Atmospheric Observatory,35.0381,33.0578,523.0,ug N m-3,monthly,EMEP,pm10
2,concNno3pm10,GR0001R,Aliartos,38.366667,23.083333,110.0,ug N m-3,monthly,EMEP,aerosol
3,concNno3pm10,AM0001R,Amberd,40.38444444,44.260583333,2080.0,ug N m-3,monthly,EMEP,aerosol
4,concNno3pm10,SE0012R,Aspvreten,58.8,17.383333,20.0,ug N m-3,monthly,EMEP HELCOM,aerosol
5,concNno3pm10,GB0048R,Auchencorth Moss,55.79216,-3.2429,260.0,ug N m-3,monthly,EMEP;EMEP CAMP;CAMPAIGN EMEP,pm10
6,concNno3pm10,GB0091R,Banchory,57.076667,-2.534444,120.0,ug N m-3,monthly,CAMP EMEP,aerosol
7,concNno3pm10,ES0011R,Barcarrota,38.47278,-6.92361,393.0,ug N m-3,monthly,EMEP,pm10;aerosol
8,concNno3pm10,CH0053R,Beromünster,47.18961391,8.175433684,797.0,ug N m-3,monthly,EMEP,aerosol
9,concNno3pm10,NL0008R,Bilthoven,52.116667,5.2,5.0,ug N m-3,monthly,EMEP,aerosol
10,concNno3pm10,NO0002R;NO0001R,Birkenes II,58.38853,8.252,219.0,ug N m-3,monthly,NILU EMEP;CAMP NILU EMEP_preliminary;CAMP EMEP NILU;NILU CAMP EMEP;CAMP EMEP GAW-WDCA NILU;CAMPAIGN EMEP NILU,aerosol;pm10
11,concNno3pm10,KZ0001R,Borovoe,53.002376,70.610526,334.0,ug N m-3,monthly,EMEP,pm10
12,concNno3pm10,SE0005R,Bredkälen,63.85,15.333333,404.0,ug N m-3,monthly,AMAP EMEP,aerosol
13,concNno3pm10,NL0011R,Cabauw Zijdeweg,51.970278,4.926389,1.0,ug N m-3,monthly,CAMPAIGN EMEP,pm10
14,concNno3pm10,ES0010R,Cabo de Creus,42.31917,3.31583,76.0,ug N m-3,monthly,EMEP,pm10;aerosol
15,concNno3pm10,ES0009R,Campisabalos,41.27417,-3.1425,1360.0,ug N m-3,monthly,EMEP,pm10;aerosol
16,concNno3pm10,IE0008R,Carnsore Point,52.178074,-6.364524,13.0,ug N m-3,monthly,EMEP,aerosol
17,concNno3pm10,GB1055R,Chilbolton Observatory,51.149617,-1.438228,78.0,ug N m-3,monthly,EMEP,pm10
18,concNno3pm10,SK0002R,Chopok,48.933333,19.583333,2008.0,ug N m-3,monthly,EMEP,aerosol
19,concNno3pm10,TR0001R,Cubuk II,40.5,33.0,1169.0,ug N m-3,monthly,EMEP,aerosol
20,concNno3pm10,RU0018R,Danki,54.9,37.8,150.0,ug N m-3,monthly,EMEP,aerosol
21,concNno3pm10,NL0091R,De Zilk,52.3,4.5,6.0,ug N m-3,monthly,CAMP EMEP,pm10;aerosol
22,concNno3pm10,PL0005R,Diabla Gora,54.15,22.066667,159.45,ug N m-3,monthly,EMEP,aerosol
23,concNno3pm10,ES0017R,Doñana,37.05194,-6.55528,35.0,ug N m-3,monthly,CAMP EMEP_preliminary,pm10
24,concNno3pm10,ES0014R,Els Torms,41.39389,0.73472,470.0,ug N m-3,monthly,EMEP,pm10;aerosol
25,concNno3pm10,HU0003R,Farkasfa,46.91,16.32,314.0,ug N m-3,monthly,EMEP,aerosol
26,concNno3pm10,GB0016R,Glen Dye,56.9675,-2.588889,85.0,ug N m-3,monthly,CAMP EMEP,aerosol
27,concNno3pm10,GB0054R,Glen Saugh,56.907222,-2.559167,85.0,ug N m-3,monthly,CAMP EMEP,aerosol
28,concNno3pm10,SE0020R;SE0011R,Hallahus,56.0429,13.148,190.0,ug N m-3,monthly,EMEP HELCOM;HELCOM EMEP_preliminary,aerosol
